"Port_Code","Port","Int_Code","Intl_Geography","Group_ID","I_Mode","Value_2010","Weight"
"42660","Seattle-Tacoma-Bellevue","170","Colombia","09",4,0.16,3.99999987499998e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","10",3,0.45,0.02
"42660","Seattle-Tacoma-Bellevue","170","Colombia","11",3,1.72,0.08
"42660","Seattle-Tacoma-Bellevue","170","Colombia","11",4,0.30,5.99999986499999e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","12",3,0.53,0.03
"42660","Seattle-Tacoma-Bellevue","170","Colombia","17",3,1.81,0.31
"42660","Seattle-Tacoma-Bellevue","170","Colombia","17",4,4.24999995749996e-03,5.00000024999995e-05
"42660","Seattle-Tacoma-Bellevue","250","France","01",3,36.57,12.89
"42660","Seattle-Tacoma-Bellevue","250","France","01",4,10.50,0.67
"42660","Seattle-Tacoma-Bellevue","250","France","01",5,0.93,0.40
"42660","Seattle-Tacoma-Bellevue","250","France","02",3,0.05,0.15
"42660","Seattle-Tacoma-Bellevue","250","France","02",4,3.369109e-04,1.148061054e-03
"42660","Seattle-Tacoma-Bellevue","250","France","02",5,5.61432312499999e-03,0.01
"42660","Seattle-Tacoma-Bellevue","250","France","04",3,5.25,1.92
"42660","Seattle-Tacoma-Bellevue","250","France","04",4,22.89,0.55
"42660","Seattle-Tacoma-Bellevue","250","France","04",5,2.39,1.22
"42660","Seattle-Tacoma-Bellevue","250","France","05",3,0.28,0.19
"42660","Seattle-Tacoma-Bellevue","250","France","05",4,0.57,0.02
"42660","Seattle-Tacoma-Bellevue","250","France","05",5,0.08,0.04
"42660","Seattle-Tacoma-Bellevue","250","France","06",4,1.74,0.08
"42660","Seattle-Tacoma-Bellevue","250","France","06",5,0.19,0.02
"42660","Seattle-Tacoma-Bellevue","250","France","07",3,4.42,1.84
"42660","Seattle-Tacoma-Bellevue","250","France","07",4,8.02,0.40
"42660","Seattle-Tacoma-Bellevue","250","France","07",5,0.50,0.10
"42660","Seattle-Tacoma-Bellevue","250","France","08",3,12.80,1.21
"42660","Seattle-Tacoma-Bellevue","250","France","08",4,602.21,1.88
"42660","Seattle-Tacoma-Bellevue","250","France","08",5,0.63,0.04
"42660","Seattle-Tacoma-Bellevue","250","France","09",3,0.36,6.31836823199998e-03
"42660","Seattle-Tacoma-Bellevue","250","France","09",4,90.71,0.57
"42660","Seattle-Tacoma-Bellevue","250","France","09",5,1.27,0.08
"42660","Seattle-Tacoma-Bellevue","250","France","10",3,13.98,1.78
